sample;data
1;1.4079
2;0.96996
3;-0.73806
4;-1.4763
5;-0.27984
6;1.2791
7;1.1585
8;-0.47704
9;-1.4804
10;-0.54258
11;1.0985
12;1.2927
13;-0.20335
14;-1.4215
15;-0.77263
16;0.8786
17;1.3662
18;0.065854
19;-1.3054
20;-0.95728
21;0.63462
22;1.3775
23;0.31424
24;-1.1426
25;-1.0878
26;0.38321
27;1.3299
28;0.52774
29;-0.94664
30;-1.1601
31;0.14087
32;1.2313
33;0.69577
34;-0.73318
35;-1.175
36;-0.077521
37;1.0936
38;0.81209
39;-0.51838
40;-1.1382
41;-0.26002
42;0.93094
43;0.87527
44;-0.31739
45;-1.0593
46;-0.39865
47;0.75874
48;0.88867
49;-0.14304
50;-0.95106
51;-0.49002
52;0.59206
53;0.85995
54;-0.0046098
55;-0.82778
56;-0.53548
57;0.44414
58;0.80018
59;0.092918
60;-0.70413
61;-0.54087
62;0.3252
63;0.72265
64;0.14921
65;-0.59352
66;-0.51572
67;0.24146
68;0.64141
69;0.16849
70;-0.50676
71;-0.47223
72;0.19464
73;0.56984
74;0.15893
75;-0.45106
76;-0.42387
77;0.18191
78;0.51922
79;0.13176
80;-0.4293
81;-0.38394
82;0.19624
83;0.49755
84;0.099926
85;-0.43982
86;-0.36412
87;0.22725
88;0.50878
89;0.07673
90;-0.47662
91;-0.37324
92;0.26238
93;0.55231
94;0.074323
95;-0.53004
96;-0.41623
97;0.28822
98;0.62311
99;0.10238
100;-0.58779
101;-0.49363
102;0.29203
103;0.71219
104;0.167
105;-0.63626
106;-0.60143
107;0.26313
108;0.80752
109;0.26996
110;-0.66202
111;-0.73138
112;0.1941
113;0.89526
114;0.40843
115;-0.6532
116;-0.87179
117;0.081682
118;0.96119
119;0.57513
120;-0.60086
121;-1.0087
122;-0.072761
123;0.99218
124;0.75893
125;-0.5
126;-1.1271
127;-0.26321
128;0.97759
129;0.94587
130;-0.3502
131;-1.2126
132;-0.47943
133;0.91043
134;1.1205
135;-0.15582
136;-1.2528
137;-0.70788
138;0.78819
139;1.2672
140;0.074232
141;-1.2385
142;-0.93285
143;0.61318
144;1.3719
145;0.32725
146;-1.165
147;-1.138
